# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 21 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
5.9375000000000007e+01  7.0724912316811359e+00  -1.0424718218228115e+00  4.6782416327383343e-02
5.9625000000000007e+01  7.0756374128518162e+00  -1.0531537921608942e+00  4.6737541662040090e-02
5.9874999999999993e+01  7.0787187103344076e+00  -1.0638800102861476e+00  4.6692837796999918e-02
6.0125000000000007e+01  7.0817356723639078e+00  -1.0746500104823862e+00  4.6648312506451274e-02
6.0375000000000000e+01  7.0846881691276389e+00  -1.0854640004301137e+00  4.6603971293038823e-02
6.0625000000000000e+01  7.0875785468498949e+00  -1.0963197259073332e+00  4.6559825933560138e-02
6.0875000000000000e+01  7.0904066666599688e+00  -1.1072174022285264e+00  4.6515880918140406e-02
6.1125000000000000e+01  7.0931732853687341e+00  -1.1181563537799115e+00  4.6472142740694361e-02
6.1375000000000000e+01  7.0958794612735083e+00  -1.1291356045102758e+00  4.6428618165689481e-02
6.1625000000000007e+01  7.0985259414324897e+00  -1.1401544871657516e+00  4.6385312679737972e-02
6.1875000000000007e+01  7.1011129293052155e+00  -1.1512128745415708e+00  4.6342230049340974e-02
6.2124999999999993e+01  7.1036422347817227e+00  -1.1623090411693564e+00  4.6299377388602916e-02
6.2375000000000007e+01  7.1061129370799572e+00  -1.1734439769808809e+00  4.6256755057795175e-02
6.2625000000000000e+01  7.1085268366656091e+00  -1.1846159647193661e+00  4.6214369268126818e-02
6.2875000000000007e+01  7.1108845664922962e+00  -1.1958244478019640e+00  4.6172223104582147e-02
6.3125000000000000e+01  7.1131865036470305e+00  -1.2070691237451094e+00  4.6130318738927215e-02
6.3374999999999993e+01  7.1154341038501911e+00  -1.2183486163309949e+00  4.6088660192469114e-02
6.3625000000000000e+01  7.1176269835842128e+00  -1.2296633789581244e+00  4.6047247316453058e-02
6.3874999999999993e+01  7.1197666186870308e+00  -1.2410120143830996e+00  4.6006083384619256e-02
6.4125000000000000e+01  7.1218535787748074e+00  -1.2523940266363685e+00  4.5965169442558108e-02
6.4375000000000000e+01  7.1238878457825487e+00  -1.2638095043257844e+00  4.5924505109175028e-02
6.4625000000000014e+01  7.1258709474905784e+00  -1.2752569969911343e+00  4.5884092573512128e-02
6.4875000000000000e+01  7.1278026156741392e+00  -1.2867368415224854e+00  4.5843930356135328e-02
6.5125000000000014e+01  7.1296839677407169e+00  -1.2982479951119590e+00  4.5804019191906138e-02
6.5375000000000000e+01  7.1315168686493315e+00  -1.3097886700854344e+00  4.5764360691173532e-02
6.5624999999999986e+01  7.1333009091097948e+00  -1.3213593427120749e+00  4.5724952201227041e-02
6.5875000000000000e+01  7.1350354071758932e+00  -1.3329607607553999e+00  4.5685790478243858e-02
6.6125000000000000e+01  7.1367222197156286e+00  -1.3445911435300610e+00  4.5646876194930096e-02
6.6375000000000000e+01  7.1383638398822766e+00  -1.3562480759171867e+00  4.5608210551473238e-02
6.6625000000000000e+01  7.1399572969163048e+00  -1.3679345844712953e+00  4.5569785928593079e-02
6.6875000000000014e+01  7.1415063124918348e+00  -1.3796470297767200e+00  4.5531604854622737e-02
6.7125000000000000e+01  7.1430101471960299e+00  -1.3913862155026520e+00  4.5493662707789977e-02
6.7375000000000014e+01  7.1444684294221137e+00  -1.4031525789964503e+00  4.5455955318667945e-02
6.7625000000000000e+01  7.1458835618544736e+00  -1.4149437933992957e+00  4.5418482248011843e-02
6.7874999999999986e+01  7.1472541233761939e+00  -1.4267613412913893e+00  4.5381237403600540e-02
6.8125000000000000e+01  7.1485837086814943e+00  -1.4386017072914425e+00  4.5344221389597497e-02
6.8375000000000000e+01  7.1498715821081555e+00  -1.4504656904964799e+00  4.5307428599072136e-02
6.8625000000000000e+01  7.1511167265741555e+00  -1.4623543706221231e+00  4.5270853004306874e-02
6.8875000000000000e+01  7.1523208327648611e+00  -1.4742661287748762e+00  4.5234491947937848e-02
6.9125000000000014e+01  7.1534846522166173e+00  -1.4862002816865569e+00  4.5198341302613257e-02
6.9375000000000000e+01  7.1546103916069352e+00  -1.4981546953410625e+00  4.5162398490611148e-02
6.9625000000000014e+01  7.1556955044132158e+00  -1.5101319735782606e+00  4.5126655009782878e-02
6.9875000000000000e+01  7.1567437580431088e+00  -1.5221284261492887e+00  4.5091109765552473e-02
7.0124999999999986e+01  7.1577524053465016e+00  -1.5341468569934089e+00  4.5055753853188260e-02
7.0375000000000000e+01  7.1587232637236493e+00  -1.5461855195073548e+00  4.5020583571584796e-02
7.0625000000000000e+01  7.1596601977414887e+00  -1.5582406253291916e+00  4.4985597161039219e-02
7.0875000000000000e+01  7.1605602400369941e+00  -1.5703151979853676e+00  4.4950785209723079e-02
7.1125000000000000e+01  7.1614237943786279e+00  -1.5824088998335388e+00  4.4916141981646361e-02
7.1375000000000014e+01  7.1622523551132860e+00  -1.5945203055070083e+00  4.4881662742714025e-02
7.1625000000000000e+01  7.1630462509502459e+00  -1.6066491518881540e+00  4.4847341402552594e-02
7.1875000000000014e+01  7.1638079899123861e+00  -1.6187930021042072e+00  4.4813173904000268e-02
7.2125000000000000e+01  7.1645339313797116e+00  -1.6309555519343171e+00  4.4779150079817455e-02
7.2374999999999986e+01  7.1652303563420023e+00  -1.6431306007983739e+00  4.4745269254628996e-02
7.2625000000000000e+01  7.1658933425734022e+00  -1.6553221254510788e+00  4.4711520905660107e-02
7.2875000000000000e+01  7.1665251769096967e+00  -1.6675279090881738e+00  4.4677900328914028e-02
7.3125000000000000e+01  7.1671249461982276e+00  -1.6797489270940740e+00  4.4644399820181813e-02
7.3375000000000000e+01  7.1676941929559996e+00  -1.6919837049424791e+00  4.4611013819937803e-02
7.3625000000000014e+01  7.1682353611234388e+00  -1.7042298683914994e+00  4.4577737389694387e-02
7.3875000000000000e+01  7.1687460660011268e+00  -1.7164898610336792e+00  4.4544561444943280e-02
7.4125000000000014e+01  7.1692290564791845e+00  -1.7287610041796300e+00  4.4511481191824083e-02
7.4375000000000000e+01  7.1696815316378002e+00  -1.7410461570833782e+00  4.4478487272648214e-02
7.4625000000000000e+01  7.1701089747812761e+00  -1.7533399119598201e+00  4.4445576908707145e-02
7.4875000000000000e+01  7.1705079107138685e+00  -1.7656458010207030e+00  4.4412740206410839e-02
7.5125000000000000e+01  7.1708830386189488e+00  -1.7779591984173833e+00  4.4379973555938139e-02
7.5375000000000000e+01  7.1712299056266318e+00  -1.7902846124953260e+00  4.4347266447667719e-02
7.5625000000000000e+01  7.1715523942768380e+00  -1.8026182322142426e+00  4.4314614575673421e-02
7.5875000000000014e+01  7.1718483021218988e+00  -1.8149623200911553e+00  4.4282009211032557e-02
7.6125000000000000e+01  7.1721223101332523e+00  -1.8273122675685398e+00  4.4249446448793396e-02
7.6375000000000014e+01  7.1723722116969801e+00  -1.8396703413086750e+00  4.4216917585657510e-02
7.6625000000000000e+01  7.1725993857952295e+00  -1.8520352287101183e+00  4.4184416415353318e-02
7.6875000000000000e+01  7.1728023890071402e+00  -1.8644084348813057e+00  4.4151934917532228e-02
7.7125000000000000e+01  7.1729831063975098e+00  -1.8767881419221402e+00  4.4119467257242688e-02
